id,question,answer
81PVnKLZ4DL,What part of a phone is covered?,Back
81PVnKLZ4DL,What natural material does the texture resemble?,Wood
81PVnKLZ4DL,Are there openings at the bottom?,Yes
81PVnKLZ4DL,Is there a cutout at the top?,Yes
81PVnKLZ4DL,What type of printing is mentioned for this item type?,3D
81PVnKLZ4DL,Are the pattern lines mostly vertical or horizontal?,Vertical
81PVnKLZ4DL,Does the texture look more like wood grain or bark?,Bark
81PVnKLZ4DL,What is the dominant color of the texture?,Brown
81PVnKLZ4DL,"For which phone brand is this item made, according to the text?",Lenovo
81fk+ANxvNL,What is the primary item shown?,CHAIR
81fk+ANxvNL,How many chairs are in the image?,Two
81fk+ANxvNL,"What color are the chairs, as suggested by one of the keywords?",Cadet
81fk+ANxvNL,"Based on keywords, would these chairs likely be found in a kitchen or a bedroom?",Kitchen
81fk+ANxvNL,Do the chairs appear to have fabric or leather upholstery?,Fabric
81fk+ANxvNL,Which room is suggested for these chairs by the keywords dinning and comedor?,Dining
81fk+ANxvNL,"If these chairs were part of a set mentioned in the keywords, could the set contain four chairs?",Yes
81fk+ANxvNL,"Looking at the design, is the back of the chair straight or flared outwards?",Flared
81fk+ANxvNL,"Based on the visual appearance, are the chair legs light or dark?",Dark
81fk+ANxvNL,"Considering the overall design and keywords like 'century', would these chairs likely be described as mid-century or more traditional?",Traditional
81MgqbSCgXL,What type of object is shown?,Case
81MgqbSCgXL,Is the case hard?,Yes
81MgqbSCgXL,Is the design colorful?,Yes
81MgqbSCgXL,Is this a back cover?,Yes
81MgqbSCgXL,Does it have a camera cutout?,Yes
81MgqbSCgXL,Does the design appear abstract?,Yes
81MgqbSCgXL,Is 'printed' used to describe the design?,Yes
81MgqbSCgXL,Does it cover the back panel?,Yes
81MgqbSCgXL,Is Lenovo listed as a potential brand?,Yes
81MgqbSCgXL,What shape is the fingerprint cutout?,Circle
81xOZ+xjL+L,What color is the shoe?,Black
81xOZ+xjL+L,Is this item a shoe?,Yes
81xOZ+xjL+L,Does the shoe have a strap?,Yes
81xOZ+xjL+L,Is the shoe flat?,Yes
81xOZ+xjL+L,Does the shoe use velcro?,Yes
81xOZ+xjL+L,What type of shoe is pictured?,Mary
81xOZ+xjL+L,Is the shoe decorated with a flower?,Yes
81xOZ+xjL+L,Is the shoe open-toed?,No
81xOZ+xjL+L,Is the sole thick?,No
81xOZ+xjL+L,Is this shoe designed for an adult?,No
81gRzRdsXML,What main tool is pictured?,Hammer
81gRzRdsXML,What is next to the hammer?,Nails
81gRzRdsXML,What is the main color on the hammer handle grip?,Black
81gRzRdsXML,How many visible parts does the hammer head have?,Two
81gRzRdsXML,Is the background colored?,No
81gRzRdsXML,What type of hammer is displayed?,Claw
81gRzRdsXML,What material is the working surface of the hammer made from?,Metal
81gRzRdsXML,What is the chief function of the back end of the hammer head?,Removal
81gRzRdsXML,Are the nails in the case organized by size?,Yes
81gRzRdsXML,What is the common action performed using these two items together?,Nailing
91jPfNK-brL,What product is shown in the image?,Gloves
91jPfNK-brL,What color are the gloves?,Grey
91jPfNK-brL,How many gloves are displayed?,Two
91jPfNK-brL,"Based on the entities, what category do these gloves belong to?",Safety
91jPfNK-brL,Are the gloves identical or different?,Different
91jPfNK-brL,"Based on the entities, what brand are these gloves?",AmazonBasics
91jPfNK-brL,What color is the wrist trim?,Green
91jPfNK-brL,Is there a texture on the palm?,Yes
91jPfNK-brL,Are these gloves likely used for protection?,Yes
91jPfNK-brL,Does the glove appear to have fingers?,Yes
816-0w7CwsL,What type of item is displayed in the image?,SHOES
816-0w7CwsL,What is the primary color of the shoe?,Tan
816-0w7CwsL,How many individual shoes are visible?,One
816-0w7CwsL,What color is the sole of the shoe?,Black
816-0w7CwsL,Does the shoe have laces?,Yes
816-0w7CwsL,What type of lacing system is typically found on this style of shoe?,Oxford
816-0w7CwsL,What decorative technique involving perforations is used on the shoe?,Brogue
816-0w7CwsL,"Based on the metadata, what is the specific brand name?",Symbol
816-0w7CwsL,What material does the shoe appear to be made from?,Leather
816-0w7CwsL,How many lace eyelets are visible on one side of the shoe?,Four
71zp1HkgwBL,What is the main item shown?,Case
71zp1HkgwBL,What is the primary color of the pattern?,Purple
71zp1HkgwBL,Is the pattern made of flowers or animals?,Flowers
71zp1HkgwBL,Does the image show the front or back?,Back
71zp1HkgwBL,What color is the camera module?,Silver
71zp1HkgwBL,What specific flower type is depicted?,Lilac
71zp1HkgwBL,What phone feature does the bottom cutout accommodate?,Speaker
71zp1HkgwBL,What is the shape of the top camera module opening?,Rectangular
71zp1HkgwBL,How are the flowers arranged on the case?,Clustered
71zp1HkgwBL,What is the apparent finish of the case print?,Glossy
81oQ6UBpovL,How many printer cartridges are shown?,Two
81oQ6UBpovL,What brand are the cartridges?,AmazonBasics
81oQ6UBpovL,What color is one of the cartridges?,Black
81oQ6UBpovL,Are these printer cartridges?,Yes
81oQ6UBpovL,What number follows HP on the cartridges?,300
81oQ6UBpovL,What general product category are these items from?,Office
81oQ6UBpovL,How many cartridges feature the AmazonBasics brand label?,Two
81oQ6UBpovL,What is the primary use of these items?,Printing
81oQ6UBpovL,How many individual colors are represented on the tri-color label?,Three
81oQ6UBpovL,What company name is visible on both products?,AmazonBasics
81qpxz7YGnL,What object is depicted?,Case
81qpxz7YGnL,What kind of design is on the back?,Flag
81qpxz7YGnL,How many colors are in the main design?,Three
81qpxz7YGnL,What is the color of the lowest stripe?,Red
81qpxz7YGnL,What color is the topmost stripe?,Beige
81qpxz7YGnL,Does the flag design appear brand new?,No
81qpxz7YGnL,Is this cover for the front or back of a phone?,Back
81qpxz7YGnL,Is this case likely rigid or flexible?,Flexible
81qpxz7YGnL,Is this case made for a universal phone size?,No
81qpxz7YGnL,What is the likely brand name?,Solimo
71XxEwKOAkL,What type of product is shown?,Case
71XxEwKOAkL,What material is specified for the case?,Silicone
71XxEwKOAkL,What brand is listed for the case?,Solimo
71XxEwKOAkL,Is the case described as flexible?,Yes
71XxEwKOAkL,What famous tower is depicted in the design?,Eiffel
71XxEwKOAkL,What one-word phone brand is this case made for?,Oppo
71XxEwKOAkL,How is the design applied to the case according to the description?,Printed
71XxEwKOAkL,What product category starting with 'c' is listed?,Cases
71XxEwKOAkL,What term starting with 'm' is used to describe the cover type?,Mobile
71XxEwKOAkL,What style term is repeated in the descriptions?,Designer
71cRSJagA3L,What object is shown?,Case
71cRSJagA3L,Is this a front or back cover?,Back
71cRSJagA3L,Is the cover printed?,Yes
71cRSJagA3L,Is the design multicolor?,Yes
71cRSJagA3L,Is the case flexible?,Yes
71cRSJagA3L,What specific material is mentioned for the case?,Silicone
71cRSJagA3L,For which brand of phone is this case listed?,Lenovo
71cRSJagA3L,What structure extends into the water in the design?,Pier
71cRSJagA3L,What kind of design is featured on the case?,Designer
71cRSJagA3L,What property does TPU material typically have?,Soft
71-j8k9sF7L,What kind of item is this?,Case
71-j8k9sF7L,What pattern is printed on the object?,Wood
71-j8k9sF7L,How many main upright logs are depicted?,Three
71-j8k9sF7L,Is there a round opening at the top?,Yes
71-j8k9sF7L,Is the object a phone accessory?,Yes
71-j8k9sF7L,What is the texture of the wood pattern?,Rough
71-j8k9sF7L,What brand is listed in the provided text?,Motorola
71-j8k9sF7L,What is the function of this product?,Protection
71-j8k9sF7L,What is the shape of the cutout at the top?,Round
71-j8k9sF7L,Is the background image sharp or blurry?,Blurry
71lUaJnnVPL,What is the main product type shown?,Softener
71lUaJnnVPL,What is the active ingredient's name?,Docusate
71lUaJnnVPL,How many softgels are in the bottle?,TwoFifty
71lUaJnnVPL,What color are the softgels?,Red
71lUaJnnVPL,What is the stated dosage per softgel?,OneHundred
71lUaJnnVPL,What brand name is featured prominently on the label?,GenMed
71lUaJnnVPL,What is the function described for this product?,Laxative
71lUaJnnVPL,What is the dosage unit for the active ingredient?,mg
71lUaJnnVPL,What type of medication does the bottle contain?,Stool
71lUaJnnVPL,"What word precedes ""Relief"" in the product name?",Gentle
91UwtqMLgjL,What type of kitchen appliance is shown?,Toaster
91UwtqMLgjL,What is the main color of the appliance's body?,Black
91UwtqMLgjL,What brand is mentioned in the text?,Solimo
91UwtqMLgjL,Does the appliance appear to be open or closed?,Closed
91UwtqMLgjL,What is the primary function of this appliance?,Toasting
91UwtqMLgjL,"Based on common kitchen appliance features, what do the colored lights on top likely indicate?",Status
91UwtqMLgjL,What material appears to be used for the upper part of the lid?,Metal
91UwtqMLgjL,The handle is designed for what action?,Opening
91UwtqMLgjL,What type of meal or snack is typically made with this appliance?,Sandwich
91UwtqMLgjL,"Based on its design, does it appear to be a portable appliance?",Yes
61EUDhdMtkL,What color is the pillow?,White
61EUDhdMtkL,Does the pillow have a tag?,Yes
61EUDhdMtkL,Is the main object a pillow?,Yes
61EUDhdMtkL,Is the background white?,Yes
61EUDhdMtkL,Does the image show more than one pillow?,No
61EUDhdMtkL,Is this item typically found in a HOME?,Yes
61EUDhdMtkL,Could this pillow be a UMI product?,Yes
61EUDhdMtkL,Does the visible tag likely contain branding information?,Yes
61EUDhdMtkL,Is this product likely for HOME use?,Yes
61EUDhdMtkL,Is this a UMI product for a HOME?,Yes
51HItUGpr9L,What object is in the image?,Table
51HItUGpr9L,How many legs does the table have?,Four
51HItUGpr9L,What material is the table made from?,Wood
51HItUGpr9L,How many shelves does the table have?,Two
51HItUGpr9L,What is the approximate shape of the top shelf?,Triangular
51HItUGpr9L,Do the legs appear to be cylindrical?,Yes
51HItUGpr9L,Does the table have a central support leg?,Yes
51HItUGpr9L,Is the lower shelf smaller than the upper shelf?,Yes
51HItUGpr9L,Does the wood show a grain pattern?,Yes
51HItUGpr9L,Are the edges of the shelves rounded?,Yes
91uwGQh8k+L,What is the brand name on the bag?,Vedaka
91uwGQh8k+L,What type of food product is shown in the image?,Fruit
91uwGQh8k+L,What is the predominant colour of the dried fruit?,Black
91uwGQh8k+L,Is there a small bowl visible next to the bag?,Yes
91uwGQh8k+L,Does the product packaging have a clear window?,Yes
91uwGQh8k+L,Does the fruit pictured match the primary fruit mentioned in the list?,No
91uwGQh8k+L,What specific type of berry is mentioned multiple times in the accompanying text list?,Blueberries
91uwGQh8k+L,What word is repeated often in the list to describe the fruit's condition?,Dried
91uwGQh8k+L,What single word quality description is visible on the round label?,Premium
91uwGQh8k+L,"According to the list, where might this fruit product be stored?",Pantry
51CK9fgo-GL,What object is shown in the image?,Ring
51CK9fgo-GL,What is the shape of the large center stone?,Square
51CK9fgo-GL,Does the ring have smaller stones surrounding the main stone?,Yes
51CK9fgo-GL,What color does the metal of the ring appear to be?,White
51CK9fgo-GL,Are there stones on the band of the ring?,Yes
51CK9fgo-GL,"Based on the text, what type of occasion is this ring suitable for?",Wedding
51CK9fgo-GL,What setting style is visible holding the corners of the center stone?,Prong
51CK9fgo-GL,Approximately how many smaller stones are visible bordering the center stone?,Twenty
51CK9fgo-GL,"According to the text, what material might the main stone be made of?",Zirconia
51CK9fgo-GL,"What collection is this ring part of, based on the text?",Amazon
819xEl4CtEL,What type of phone accessory is pictured?,Case
819xEl4CtEL,What pattern is visible on the case?,Brick
819xEl4CtEL,What is the dominant color of the bricks?,Brown
819xEl4CtEL,Is the product a mobile cover?,Yes
819xEl4CtEL,Is there a hole for a camera?,Yes
819xEl4CtEL,"Based on the keywords, could this case be for a Samsung phone?",Yes
819xEl4CtEL,"Based on the keywords, is this case associated with the Vivo brand?",Yes
819xEl4CtEL,What functionality is the small square cutout below the camera likely for?,Sensor
819xEl4CtEL,What type of surface is represented by the brick pattern?,Rough
819xEl4CtEL,Is the case likely designed to look smooth or textured?,Textured
81G0i-GHLwL,What kind of accessory is pictured?,Case
81G0i-GHLwL,What is the primary color of the case's background?,Pink
81G0i-GHLwL,"What word is written on the case after ""Girl""?",Boss
81G0i-GHLwL,Is the case described as flexible?,Yes
81G0i-GHLwL,Does the background have a sparkly appearance?,Yes
81G0i-GHLwL,"According to the description, what specific material is the case made from?",Silicone
81G0i-GHLwL,What type of cover is this designed to be for the phone?,Back
81G0i-GHLwL,What is the brand name associated with this case?,Solimo
81G0i-GHLwL,Is this case explicitly mentioned as being compatible with all phone models?,No
81G0i-GHLwL,What is the specific design theme described for this case?,Girlboss
71vCBRJ0XAL,What type of footwear is shown?,Shoe
71vCBRJ0XAL,What is the main color?,Neutral
71vCBRJ0XAL,What is the texture of the upper?,Patent
71vCBRJ0XAL,What kind of heel structure does the shoe have?,Wedge
71vCBRJ0XAL,Is the shoe upper made of leather?,Yes
71vCBRJ0XAL,Is the upper material 100% leather?,Yes
71vCBRJ0XAL,Is this shoe suitable for formal occasions?,Yes
71vCBRJ0XAL,What texture is specified for the leather?,Patent
71vCBRJ0XAL,"Does the text include the word ""zapatos""?",Yes
71vCBRJ0XAL,What number is in the brand name?,206
615BC2KRm4L,What type of furniture is shown?,Chair
615BC2KRm4L,What is the main color of the upholstery?,Green
615BC2KRm4L,Does the chair have armrests?,Yes
615BC2KRm4L,What material is the visible frame made of?,Metal
615BC2KRm4L,How many horizontal stitched lines are on the backrest?,Four
615BC2KRm4L,"Based on the texture, what type of fabric is it?",Velvet
615BC2KRm4L,Does the chair frame have horizontal bars connecting the legs near the floor?,No
615BC2KRm4L,Does the design appear modern?,Yes
615BC2KRm4L,Is the chair likely intended for outdoor use?,No
615BC2KRm4L,Is the chair presented as part of a set in this image?,No
81tAS749AlL,What flavor is the smoothie mix?,French
81tAS749AlL,How many grams of protein are in one serving?,Fifteen
81tAS749AlL,What number is in the brand logo?,365
81tAS749AlL,Is this product vegan?,Yes
81tAS749AlL,"What color is the main text ""Plant Protein Smoothie""?",Blue
81tAS749AlL,What is the weight of the package in grams?,255
81tAS749AlL,How many types of superfood greens are listed as ingredients?,Four
81tAS749AlL,What is the total number of different plant-based protein and greens sources mentioned?,Seven
81tAS749AlL,How many calories are in a serving?,Ninety
81tAS749AlL,What kind of flower is shown on the bag?,Vanilla
71Eb0Wge78L,What item is shown?,Case
71Eb0Wge78L,What color is the phone case?,Black
71Eb0Wge78L,How many people are in the illustration?,Two
71Eb0Wge78L,What shapes are the main decorations?,Hearts
71Eb0Wge78L,What color are the fluffy shapes behind the hearts?,Pink
71Eb0Wge78L,What are the two characters traveling in?,Bucket
71Eb0Wge78L,What objects are lifting the bucket?,Balloons
71Eb0Wge78L,What is the gender of the person on the right?,Girl
71Eb0Wge78L,What color is the girl's hair?,Brown
71Eb0Wge78L,What is the pattern around the bottom edge?,Flowers
5157AhIgxRL,What is the main color of the phone case shown?,Black
5157AhIgxRL,What general type of product is this?,Case
5157AhIgxRL,What brand is mentioned in the list for this item?,Amazon
5157AhIgxRL,Which manufacturer's phone is this case for?,Redmi
5157AhIgxRL,Does this case primarily protect the front or the back of the phone?,Back
5157AhIgxRL,"Based on the list, are there alternative colors mentioned for the Redmi Y2 case?",Yes
5157AhIgxRL,What specific phone feature is positioned below the camera cutout on the case?,Fingerprint
5157AhIgxRL,"Is the case pictured demonstrably the ""stylish"" type mentioned in the list?",No
5157AhIgxRL,Is the listed brand name visible on the actual case in the image?,No
5157AhIgxRL,Does the list contain repeated mentions of the phone model 'redmi y2'?,Yes
81TdkN-+K5L,Is the object a CHAIR?,CHAIR
81TdkN-+K5L,What is the primary color term from the list?,Light
81TdkN-+K5L,Does the chair have arms?,Yes
81TdkN-+K5L,Is the chair made of mesh material?,No
81TdkN-+K5L,Is the base color black?,black
81TdkN-+K5L,Is this chair designed for gaming purposes?,No
81TdkN-+K5L,Is the object a stool?,No
81TdkN-+K5L,Is the chair a midback design?,No
81TdkN-+K5L,Could this chair be from the basics range?,Yes
81TdkN-+K5L,Does the chair feature visible metal components?,No
515Ei50uh7L,What is the main color shown in the image?,Azul
515Ei50uh7L,Does the image show a flat or textured surface?,Textured
515Ei50uh7L,Is the color in the image blue?,Yes
515Ei50uh7L,Is the surface in the image dark?,Yes
515Ei50uh7L,Could this image represent a material like fabric or leather?,Yes
515Ei50uh7L,"Based on the provided list, is 'Azul' a likely description for this color?",Yes
515Ei50uh7L,Does the texture visible in the image suggest it could be 'Tapizado' according to the list?,Yes
515Ei50uh7L,"Considering the list, is this image's color associated with 'SOFA'?",Yes
515Ei50uh7L,"If this were upholstery, could it be described by a term from the list like 'Tela'?",Yes
515Ei50uh7L,"Based on the list, could this image represent the color of a 'Chesterfield'?",Yes
71utpdTbVxL,What type of item is shown in the image?,Shoe
71utpdTbVxL,Is the shoe a sneaker?,No
71utpdTbVxL,What texture covers the shoe?,Glitter
71utpdTbVxL,Does the shoe appear brand new?,Yes
71utpdTbVxL,What color is the shoe glitter?,Silver
71utpdTbVxL,What part of the shoe touches the ground?,Sole
71utpdTbVxL,Is the toe of the shoe rounded?,No
71utpdTbVxL,What is the visible color of the inner lining?,Pink
71utpdTbVxL,What type of heel is on the shoe?,Kitten
71utpdTbVxL,Is this shoe typically worn for sports?,No
A1siFQancHL,What is the primary color shown?,Purple
A1siFQancHL,Is this a flat sheet?,No
A1siFQancHL,What part of a bed is visible?,Corner
A1siFQancHL,Is the texture rough?,Yes
A1siFQancHL,Is the item in the BATH category according to the data?,Yes
A1siFQancHL,Is the term 'singolo' present in the Italian text?,Yes
A1siFQancHL,Does the metadata list 'Amazon' as part of the brand?,Yes
A1siFQancHL,Is the sheet smooth to the touch based on appearance?,No
A1siFQancHL,Does the image display a brand logo?,No
A1siFQancHL,Is a size number present in the Italian text?,Yes
71Ykw3jjM4L,What object is displayed?,Case
71Ykw3jjM4L,What is the background color of the case?,Dark
71Ykw3jjM4L,Are there lights on the case?,Yes
71Ykw3jjM4L,What color is one of the light strings?,Red
71Ykw3jjM4L,Is the case for a phone?,Yes
71Ykw3jjM4L,"Based on the prominent mentions in the text and image details, which phone brand is most likely associated with this case?",Realme
71Ykw3jjM4L,What kind of decorative pattern is on the case?,Lights
71Ykw3jjM4L,What type of case material is mentioned in the description?,Hard
71Ykw3jjM4L,"Excluding the background, how many distinct prominent colors are visible in the light pattern?",Three
71Ykw3jjM4L,Does the case have openings for cameras?,Yes
61Xh92ENjYL,What color are the canvases?,White
61Xh92ENjYL,How many canvases are visible in the stack?,Four
61Xh92ENjYL,Is one canvas standing upright?,Yes
61Xh92ENjYL,"Based on the metadata, are these canvases loose or stretched?",Stretched
61Xh92ENjYL,Is the standing canvas positioned in front of the stack?,Yes
61Xh92ENjYL,What artistic activity are these items primarily used for?,Painting
61Xh92ENjYL,"Based on the metadata, what fabric are these canvases made from?",Cotton
61Xh92ENjYL,Does the image show a single canvas or a set?,Set
61Xh92ENjYL,What is the approximate orientation of the standing canvas relative to the stack?,Leaning
61Xh92ENjYL,Are the edges of the stacked canvases visible?,Yes
710izm6G7OL,What color is the sandal?,Brown
710izm6G7OL,What type of footwear is this?,Sandal
710izm6G7OL,How many items of footwear are shown?,One
710izm6G7OL,Does the sandal have a high heel?,No
710izm6G7OL,Is the toe area open?,Yes
710izm6G7OL,What is the main strap style across the foot?,T-strap
710izm6G7OL,What type of fastener is on the ankle strap?,Zipper
710izm6G7OL,What is the color of the sole?,Tan
710izm6G7OL,Is this a complete pair of sandals?,No
710izm6G7OL,Does the back of the sandal have a solid panel?,Yes
81cuOy7VdVL,What type of footwear is shown?,Shoe
81cuOy7VdVL,What is the main color of the shoe?,Navy
81cuOy7VdVL,Does the shoe have laces?,Yes
81cuOy7VdVL,What color is the sole?,White
81cuOy7VdVL,Who are these shoes for?,Men
81cuOy7VdVL,What color are the laces?,Navy
81cuOy7VdVL,What color is the piping above the sole?,Yellow
81cuOy7VdVL,What brand is mentioned?,Amazon
81cuOy7VdVL,What color is the trim around the opening?,Green
81cuOy7VdVL,Is this shoe described as formal or casual?,Casual
71DDTMRDzUL,What objects are depicted on the phone case?,Brushes
71DDTMRDzUL,What type of accessory is shown in the image?,Case
71DDTMRDzUL,Are the brushes oriented vertically?,No
71DDTMRDzUL,What is a common color of the brush handles?,Orange
71DDTMRDzUL,What color are the metal parts of some brushes?,Silver
71DDTMRDzUL,"According to the text, which phone brand is mentioned in relation to this case?",HTC
71DDTMRDzUL,What printing technique is indicated by the associated text?,3D
71DDTMRDzUL,Does the image show a cutout for a camera lens?,Yes
71DDTMRDzUL,What material are the brush ferrules typically made of?,Metal
71DDTMRDzUL,Are the brushes likely intended for painting or writing?,Painting
811LFyVfJjL,What object is shown in the image?,case
811LFyVfJjL,What color is prominent in the top section of the design?,yellow
811LFyVfJjL,Is the design on the case a solid single color?,no
811LFyVfJjL,Are there visible cutouts for a camera and flash?,yes
811LFyVfJjL,Does the case appear to cover the front or back of a phone?,back
811LFyVfJjL,"Based on the provided list, is this item related to cellular devices?",yes
811LFyVfJjL,Can the specific phone model this case fits be determined from the image?,no
811LFyVfJjL,Does the image depict a pattern that is abstract?,yes
811LFyVfJjL,Does the image show any cutouts for buttons on the side of the case?,no
811LFyVfJjL,Does the image show a specific brand logo printed on the case itself?,no
61SJcRkDd+L,What type of jewelry item is pictured?,earrings
61SJcRkDd+L,Are the visible stones gemstones?,yes
61SJcRkDd+L,What color are the gemstones?,blue
61SJcRkDd+L,How many earrings are displayed?,two
61SJcRkDd+L,Do the earrings feature stones?,yes
61SJcRkDd+L,What type of closure do the earrings have?,lever-back
61SJcRkDd+L,The provided list mentions amethyst; does this match the visible stone color?,no
61SJcRkDd+L,"According to the provided list, what type of earrings are they called?",stud
61SJcRkDd+L,What month is repeated multiple times in the list?,february
61SJcRkDd+L,What type of setting holds the gemstones?,prong
91z30B0K8+L,What brand is shown on the packet?,Vedaka
91z30B0K8+L,What color are the dried chillies shown?,Red
91z30B0K8+L,What is the first word written directly below the Vedaka logo?,SPICES
91z30B0K8+L,What overall category is listed multiple times in the provided text?,GROCERY
91z30B0K8+L,Are the red chillies shown in the image whole or powdered?,Whole
91z30B0K8+L,What specific botanical part is clearly visible on many of the dried chillies?,Stem
91z30B0K8+L,"Based on the image and text, what kind of powder is likely made from these chillies?",chilli
91z30B0K8+L,"According to the text, what specific variety of red chilli powder is listed with a weight?",kashmiri
91z30B0K8+L,Does the circular seal on the packet state that preservatives are present?,No
91z30B0K8+L,What is one number representing a weight mentioned for chilli powder in the text?,100
71wsBqo7LEL,What type of product is this?,Cover
71wsBqo7LEL,What is the main color visible on the case?,Red
71wsBqo7LEL,What small shapes are patterned across the surface?,Droplets
71wsBqo7LEL,Is this case associated with Redmi or iPhone according to the list?,Redmi
71wsBqo7LEL,Does the pattern appear wet or dry?,Wet
71wsBqo7LEL,Which side of a phone does a back cover protect?,Back
71wsBqo7LEL,Does the case surface appear smooth or textured due to the pattern?,Textured
71wsBqo7LEL,Does the camera cutout suggest a single or multiple lenses?,Multiple
71wsBqo7LEL,"Is ""Solimo"" listed as a brand?",Yes
71wsBqo7LEL,What common phone feature might the central blue circle be for?,Sensor
61BioydE4kL,What is the main color of the case?,Black
61BioydE4kL,What type of accessory is pictured?,Cover
61BioydE4kL,Which phone model is this case for?,Nokia
61BioydE4kL,What is the first word on the case?,I
61BioydE4kL,Does the case have a sensor cutout?,Yes
61BioydE4kL,What material is listed for the case?,Polycarbonate
61BioydE4kL,What type of print is on the case?,Quotes
61BioydE4kL,Is this case described as 'Hard'?,Yes
61BioydE4kL,Is the brand name visible?,No
61BioydE4kL,How many lines of text are printed?,Two
71rn56dZO1L,What color is the boot?,Brown
71rn56dZO1L,What type of footwear is shown?,Boot
71rn56dZO1L,Does the boot have laces?,Yes
71rn56dZO1L,Is this boot for an adult?,Yes
71rn56dZO1L,What material is the boot made of according to the image?,Suede
71rn56dZO1L,Does the boot have a cap toe?,Yes
71rn56dZO1L,What closure type is present on the boot?,Lace
71rn56dZO1L,Is the style of the boot described as modern?,No
71rn56dZO1L,"Based on the metadata, is this boot related to the UK?",Yes
71rn56dZO1L,Is the sole the same color as the upper?,No
71JItUDmYxL,What type of item is shown in the image?,Case
71JItUDmYxL,What object is this item designed to fit?,Phone
71JItUDmYxL,What color are the main flowers on the case?,Pink
71JItUDmYxL,Does the case have a cutout for a logo?,Yes
71JItUDmYxL,Is the case described as having a soft feel?,Soft
71JItUDmYxL,What design theme is featured on the case?,Floral
71JItUDmYxL,What specific type of material is listed for the case?,Silicone
71JItUDmYxL,What kind of cover is this item described as being?,Printed
71JItUDmYxL,What style of pattern is depicted on the case?,Photography
71JItUDmYxL,Is the case described as rigid or flexible?,Flexible
61GA3E5ACPL,What color are the straps of the sandal?,Black
61GA3E5ACPL,What type of footwear is depicted in the image?,Sandal
61GA3E5ACPL,What brand is this sandal?,Amazon
61GA3E5ACPL,Is the sandal made of synthetic material?,Yes
61GA3E5ACPL,Is this sandal intended for women or men?,Women
61GA3E5ACPL,What is the color of the footbed?,Brown
61GA3E5ACPL,What is the style of the front strap that goes between the toes?,Thong
61GA3E5ACPL,Does the sandal have a buckle for closure?,Yes
61GA3E5ACPL,What is the primary season mentioned in the metadata for this sandal?,Summer
61GA3E5ACPL,Does the sole appear to have a significant heel?,No
71J99bhg75L,What type of footwear is shown?,Shoe
71J99bhg75L,What color is the shoe?,Blue
71J99bhg75L,Is the shoe shiny?,Yes
71J99bhg75L,How many shoes are pictured?,One
71J99bhg75L,What is the background color?,White
71J99bhg75L,What material does the shoe appear to be made of?,Leather
71J99bhg75L,Is the toe pointed or rounded?,Pointed
71J99bhg75L,Is the heel thick or thin?,Thick
71J99bhg75L,Is there a reflection in the image?,Yes
71J99bhg75L,Is the shoe facing left or right?,Left
816erCNSdFL,What type of item is shown?,shoe
816erCNSdFL,What is the main color?,white
816erCNSdFL,Does the shoe have laces?,yes
816erCNSdFL,Is there any blue color?,yes
816erCNSdFL,Is this shoe a loafer?,no
816erCNSdFL,What is the texture on the side of the shoe?,woven
816erCNSdFL,Where is the blue accent color located?,heel
816erCNSdFL,How many eyelets are visible on this side?,six
816erCNSdFL,What is the general style?,casual
816erCNSdFL,Is the sole a different color?,no
810UJnsZ7aL,What is the main object shown?,case
810UJnsZ7aL,What is the background texture of the design?,brick
810UJnsZ7aL,What style of art is depicted on the case?,graffiti
810UJnsZ7aL,What color is visible around the camera cutout?,red
810UJnsZ7aL,Are there cloud-like shapes in the design?,yes
810UJnsZ7aL,What abstract scientific shapes are included in the artwork?,molecules
810UJnsZ7aL,"Based on the text, what phone brand is mentioned as compatible?",Poco
810UJnsZ7aL,"According to the provided keywords, what material is the case likely made of?",polycarbonate
810UJnsZ7aL,Does the surface of the design appear textured or smooth?,flat
810UJnsZ7aL,Does this case cover the back or the front of the phone?,back
71zr9ndT8IL,What is the primary color?,Pink
71zr9ndT8IL,What pattern is depicted?,Chevron
71zr9ndT8IL,"What word follows ""DADDY'S""?",Girl
71zr9ndT8IL,What color is the textured pattern?,Gold
71zr9ndT8IL,Is the object a phone cover?,Yes
71zr9ndT8IL,What texture is on the case?,Glitter
71zr9ndT8IL,Does the case have camera cutouts?,Yes
71zr9ndT8IL,What specific item is this?,Case
71zr9ndT8IL,What style is the text?,Glitter
71zr9ndT8IL,What part of a phone does this cover?,Back
71HR3bDJn2L,What is the main color of the bag?,Yellow
71HR3bDJn2L,What type of accessory is shown?,Handbag
71HR3bDJn2L,Does the bag have two shoulder straps?,Yes
71HR3bDJn2L,Is there a small metallic logo on the front?,Yes
71HR3bDJn2L,What material does the bag appear to be made of?,Leather
71HR3bDJn2L,Do the side panels of the bag have a different texture than the front?,Yes
71HR3bDJn2L,Are there vertical lines or ridges on the side panels?,Ridges
71HR3bDJn2L,Is there any visible exterior pocket on the bag?,No
71HR3bDJn2L,"Based on the shape, is the bag wider at the top than the bottom?",Yes
71HR3bDJn2L,Is the bag pictured on a white background?,Yes
81yazq-zMIL,What type of jewelry item is displayed?,Necklace
81yazq-zMIL,What color is the necklace metal?,Rose
81yazq-zMIL,What geometric shape defines the pendant's border?,Circle
81yazq-zMIL,Is the central design a type of plant?,Yes
81yazq-zMIL,Does the pendant have decorative stones?,Yes
